PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=17.6 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=53.2 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=15.9 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=16.1 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=17.1 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=18.8 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=15.9 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=15.8 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=16.2 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=17.0 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=17.1 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=16.2 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=18.0 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=16.4 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=61 ttl=64 time=17.2 ms
64 bytes from 10.0.0.7: icmp_seq=62 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=63 ttl=64 time=17.2 ms
64 bytes from 10.0.0.7: icmp_seq=64 ttl=64 time=18.4 ms
64 bytes from 10.0.0.7: icmp_seq=65 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=66 ttl=64 time=17.7 ms
64 bytes from 10.0.0.7: icmp_seq=67 ttl=64 time=15.7 ms
64 bytes from 10.0.0.7: icmp_seq=68 ttl=64 time=17.2 ms
64 bytes from 10.0.0.7: icmp_seq=69 ttl=64 time=17.3 ms
64 bytes from 10.0.0.7: icmp_seq=70 ttl=64 time=16.2 ms
64 bytes from 10.0.0.7: icmp_seq=72 ttl=64 time=17.2 ms
64 bytes from 10.0.0.7: icmp_seq=73 ttl=64 time=17.2 ms
64 bytes from 10.0.0.7: icmp_seq=74 ttl=64 time=16.9 ms
64 bytes from 10.0.0.7: icmp_seq=76 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=77 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=78 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=79 ttl=64 time=16.4 ms
64 bytes from 10.0.0.7: icmp_seq=80 ttl=64 time=17.0 ms
64 bytes from 10.0.0.7: icmp_seq=81 ttl=64 time=17.6 ms
64 bytes from 10.0.0.7: icmp_seq=82 ttl=64 time=17.0 ms
64 bytes from 10.0.0.7: icmp_seq=84 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=85 ttl=64 time=16.4 ms
64 bytes from 10.0.0.7: icmp_seq=86 ttl=64 time=17.0 ms
64 bytes from 10.0.0.7: icmp_seq=87 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=88 ttl=64 time=16.9 ms
64 bytes from 10.0.0.7: icmp_seq=89 ttl=64 time=17.5 ms
64 bytes from 10.0.0.7: icmp_seq=90 ttl=64 time=17.0 ms

--- 10.0.0.7 ping statistics ---
90 packets transmitted, 81 received, 10% packet loss, time 89339ms
rtt min/avg/max/mdev = 15.477/67.853/2384.547/300.286 ms, pipe 3
